sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24512	0.0	5.15	0.0	0.0	0.0
2000	33944	0.0156001	96.35	0.963673057517659	0.9994767137624281	0.9812483945543283
4000	38104	0.0312002	94.35	0.9471544715447154	0.9951948745328351	0.9705805779744857
6000	42240	0.0312002	90.95	0.9743589743589743	0.9283058948486458	0.9507750883872722
8000	42240	0.0312002	95.45	0.95557799091368	0.9984177215189873	0.9765282434872323
10000	64568	0.0624004	86.9	0.9615384615384616	0.8975712777191129	0.9284543965046422
12000	67528	0.0624004	96.35	0.9696816574027286	0.9932712215320911	0.9813346970084378
14000	67528	0.0780005	96.05	0.9635627530364372	0.9963369963369964	0.9796758425520967
16000	67528	0.0780005	94.65	0.9563894523326572	0.9889879391714735	0.9724155710234597
18000	67640	0.0936006	94.75	0.9479739869934968	0.9994725738396625	0.9730423620025673
20000	67640	0.0936006	95.25	0.9609137055837563	0.9905808477237049	0.9755217727389848
22000	67808	0.0936006	94.0	0.9715340010542962	0.965426925091671	0.9684708355228586
24000	67824	0.1092007	92.8	0.9372128637059725	0.9886914378029079	0.9622641509433962
26000	30376	0.1248008	69.95	0.9575633127994524	1.0	0.9783216783216783
