sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.0	5.1	0.0	0.0	0.0
2000	7928	0.0156001	95.05	0.9505	1.0	0.9746218918226096
4000	11896	0.0312002	94.15	0.9468845760980592	0.9930369576861274	0.9694117647058823
6000	15832	0.0312002	82.1	0.9366724237190558	0.8677333333333334	0.9008859357696566
8000	15840	0.0312002	95.05	0.9504504504504504	1.0	0.9745958429561201
10000	38624	0.0312002	95.3	0.9528349222277973	1.0	0.9758478931140802
12000	40912	0.0468003	96.5	0.9661786976274609	0.9984350547730829	0.9820420728578758
14000	40912	0.0468003	96.0	0.9650455927051672	0.994258872651357	0.9794344473007711
16000	40912	0.0468003	93.55	0.9491353001017294	0.9846965699208443	0.9665889665889666
18000	41024	0.0468003	94.75	0.9483191169091821	0.9989429175475687	0.9729729729729729
20000	41024	0.0468003	96.55	0.9682779456193353	0.9968895800933126	0.9823754789272031
22000	41024	0.0624004	88.4	0.9832949308755761	0.893717277486911	0.9363686231486561
24000	41024	0.0624004	93.45	0.9353383458646617	0.9989293361884368	0.9660885322288376
26000	41024	0.0624004	70.5	0.9488559892328399	1.0	0.9737569060773481
