sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	25688	0.0	5.2	0.0	0.0	0.0
2000	29520	0.0	95.45	0.9545	1.0	0.9767203888462523
4000	37448	0.0156001	94.05	0.9515962924819773	0.9866524292578751	0.9688073394495412
6000	37472	0.0312002	94.3	0.9574247144340602	0.9829424307036247	0.9700157811678064
8000	41144	0.0312002	95.05	0.950251256281407	1.0	0.9744911105385211
10000	41456	0.0312002	95.7	0.9568706118355065	1.0	0.9779600205023065
12000	42592	0.0624004	95.7	0.9568706118355065	1.0	0.9779600205023065
14000	46816	0.0624004	95.8	0.9582914572864322	0.999475890985325	0.978450487429451
16000	51024	0.0780005	94.45	0.9558599695585996	0.9874213836477987	0.97138437741686
18000	74728	0.0936006	94.4	0.944	1.0	0.9711934156378601
20000	75408	0.0936006	96.45	0.9644110275689223	1.0	0.9818831334524113
22000	75408	0.0936006	95.0	0.9665465774575399	0.98170412963931	0.9740663900414938
24000	79632	0.0936006	93.0	0.9297541394882087	1.0	0.9635985439417577
26000	79632	0.0936006	71.2	0.9429329794293297	1.0	0.9706284153005464
