sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24512	0.0156001	5.05	0.0	0.0	0.0
2000	52800	0.0468003	95.75	0.9574148296593187	1.0	0.9782441771179934
4000	51728	0.0936006	93.6	0.936	1.0	0.9669421487603307
6000	57128	0.1092007	74.05	0.9529885829415715	0.7596359743040685	0.8453976764968721
8000	61200	0.1248008	94.85	0.9580562659846548	0.9889123548046462	0.973239802546116
10000	29968	0.1404009	23.5	0.9788359788359788	0.19556025369978858	0.32599118942731276
12000	30208	0.1716011	67.2	0.9779802581624905	0.6725848563968668	0.797029702970297
14000	34104	0.1872012	87.4	0.9712643678160919	0.8932346723044398	0.9306167400881058
16000	61296	0.2028013	73.35	0.9673024523160763	0.7454068241469817	0.8419804328490957
18000	30040	0.2028013	95.4	0.9599797365754813	0.9931865828092243	0.9763008758371973
20000	30376	0.2184014	89.45	0.9686813186813187	0.9196661450182577	0.9435375970029435
22000	30376	0.2496016	68.5	0.9854628921193573	0.6782517114270669	0.8034934497816595
24000	38824	0.2808018	37.15	0.9748822605965463	0.3335123523093448	0.4969987995198079
26000	30208	0.312002	72.2	0.9715277777777778	0.9701803051317615	0.9708535739070091
