sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.1716011	4.8	0.0	0.0	0.0
2000	30672	0.3900025	92.65	0.9582463465553236	0.9647924330005255	0.9615082482325216
4000	38240	0.4836031	93.45	0.9460860549507517	0.9854211663066955	0.9653530811954509
6000	42344	0.5460035	51.75	0.9598796389167502	0.5085015940488842	0.6648141715873568
8000	53840	0.6084039	93.75	0.9548755186721992	0.979776476849388	0.9671657473075914
10000	61632	0.6552042	74.7	0.9568909209666885	0.7690288713910761	0.8527357392316649
12000	64904	0.6708043	85.0	0.9671469740634006	0.8735033836543467	0.9179431072210066
14000	80064	0.7176046	96.0	0.9643947100712106	0.9947534102833159	0.9793388429752067
16000	80824	0.7332047	78.95	0.9745060548119822	0.8005235602094241	0.8789882150043116
18000	84560	0.7644049	82.9	0.9502341920374707	0.8632978723404255	0.9046822742474916
20000	85496	0.780005	75.95	0.9735799207397622	0.7697127937336815	0.8597258675998833
22000	89256	0.7956051	54.25	0.9882005899705014	0.5267295597484277	0.6871794871794872
24000	90216	0.8112052	55.3	0.9938775510204082	0.523093447905478	0.685432793807178
26000	90640	0.8112052	50.35	0.9795081967213115	0.6597653554175293	0.7884536082474226
