sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24512	0.0	7.9	0.079	1.0	0.14643188137164043
2000	33952	0.0156001	93.45	0.9444444444444444	0.2085889570552147	0.3417085427135679
4000	38104	0.0156001	90.1	1.0	0.1951219512195122	0.326530612244898
6000	42248	0.0312002	89.8	0.6173469387755102	0.484	0.5426008968609866
8000	42248	0.0312002	88.75	1.0	0.034334763948497854	0.06639004149377593
10000	30304	0.0468003	48.8	0.10970081595648232	0.7423312883435583	0.19115323854660346
12000	30544	0.0468003	90.7	0.0	0.0	0.0
14000	34768	0.0624004	92.55	0.6166666666666667	0.22699386503067484	0.33183856502242154
16000	30544	0.0780005	90.0	0.0	0.0	0.0
18000	34720	0.0780005	92.1	1.0	0.0125	0.02469135802469136
20000	38944	0.0936006	90.15	0.7575757575757576	0.11682242990654206	0.20242914979757087
22000	30496	0.0936006	92.15	0.0	0.0	0.0
24000	34760	0.1092007	89.4	0.7205882352941176	0.2024793388429752	0.3161290322580645
26000	39136	0.1092007	89.9	0.7931034482758621	0.1050228310502283	0.18548387096774194
28000	67104	0.1404009	42.45	1.0	0.18811881188118812	0.3166666666666667
