sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.0312002	8.5	0.085	1.0	0.1566820276497696
2000	7936	0.1248008	93.75	0.8382352941176471	0.3333333333333333	0.47698744769874474
4000	11896	0.1716011	90.5	0.794392523364486	0.3359683794466403	0.47222222222222215
6000	15560	0.2028013	84.15	0.3699421965317919	0.5638766519823789	0.44677137870855155
8000	15560	0.2028013	89.95	0.696969696969697	0.2026431718061674	0.31399317406143346
10000	15856	0.2184014	94.3	0.76	0.5307262569832403	0.625
12000	20624	0.2496016	93.3	1.0	0.21637426900584794	0.3557692307692308
14000	24456	0.2652017	91.45	0.5789473684210527	0.18333333333333332	0.27848101265822783
16000	25448	0.2652017	90.05	0.39622641509433965	0.11170212765957446	0.17427385892116184
18000	48616	0.312002	92.1	1.0	0.07058823529411765	0.13186813186813187
20000	49664	0.312002	91.7	0.6666666666666666	0.03550295857988166	0.06741573033707866
22000	73536	0.3588023	89.95	0.35789473684210527	0.46258503401360546	0.40356083086053407
24000	73896	0.3744024	87.15	0.38578680203045684	0.3584905660377358	0.37163814180929094
26000	77712	0.3744024	89.75	0.6310679611650486	0.2801724137931034	0.38805970149253727
28000	78096	0.3900025	39.95	0.9655172413793104	0.3218390804597701	0.48275862068965514
