sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24792	0.0	8.85	0.0885	1.0	0.1626090950849793
2000	32608	0.0156001	93.7	0.8533333333333334	0.3575418994413408	0.5039370078740157
4000	36584	0.0312002	89.5	0.8241758241758241	0.2788104089219331	0.41666666666666674
6000	40560	0.0468003	83.8	0.3707865168539326	0.5689655172413793	0.4489795918367347
8000	40560	0.0468003	90.0	0.5945945945945946	0.205607476635514	0.3055555555555555
10000	40576	0.0468003	93.3	0.7222222222222222	0.42857142857142855	0.5379310344827586
12000	49376	0.0780005	92.85	1.0	0.22702702702702704	0.37004405286343617
14000	49752	0.0780005	91.2	0.6962025316455697	0.26570048309178745	0.38461538461538464
16000	78448	0.1092007	89.7	0.425531914893617	0.10050251256281408	0.16260162601626013
18000	78456	0.1092007	87.3	0.25748502994011974	0.24855491329479767	0.25294117647058817
20000	101320	0.1404009	89.3	0.32432432432432434	0.05970149253731343	0.10084033613445378
22000	102720	0.1404009	89.1	0.25882352941176473	0.3235294117647059	0.2875816993464052
24000	102720	0.1404009	85.95	0.36727272727272725	0.4855769230769231	0.41821946169772256
26000	102720	0.1404009	91.7	0.7704918032786885	0.4051724137931034	0.5310734463276836
28000	102720	0.1404009	44.9	0.9375	0.3125	0.46875
