sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.2652017	8.65	0.0	0.0	0.0
2000	26744	0.4368028	88.9	0.9309421841541756	0.949235807860262	0.9400000000000001
4000	38424	0.5772037	89.95	0.910154173312068	0.981651376146789	0.9445517241379311
6000	49856	0.6708043	74.65	0.9330143540669856	0.7694475760992108	0.8433734939759036
8000	57920	0.7332047	87.8	0.9323644494130799	0.931323283082077	0.9318435754189943
10000	61512	0.7956051	78.45	0.9406887755102041	0.8135686707115278	0.8725229222123632
12000	72320	0.8736056	92.4	0.9349081364829396	0.9845218352681039	0.959073774905762
14000	76584	0.9048058	87.6	0.9484126984126984	0.914207650273224	0.930996104618809
16000	80392	0.936006	83.8	0.9420118343195266	0.8756875687568757	0.9076396807297606
18000	85304	0.9672062	62.8	0.9494787489975942	0.6348525469168901	0.7609254498714653
20000	92768	1.0140065	75.5	0.9228253760627861	0.7913628715647785	0.8520531400966183
22000	92768	1.0296066	48.15	0.9633867276887872	0.4558743909041689	0.6188901139287027
24000	94488	1.0764069	46.95	0.9852744310575636	0.41209406494960804	0.5811290959336755
26000	94488	1.1232072	67.45	0.9448384554767534	0.6735955056179775	0.7864873729091506
28000	96104	1.1388073	31.4	0.9519071310116086	0.7387387387387387	0.8318840579710145
