sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24848	0.0156001	8.6	0.0	0.0	0.0
2000	51496	0.0468003	90.45	0.9280500521376434	0.9710856519367158	0.9490802452679286
4000	55992	0.0936006	87.25	0.9105960264900662	0.9466437177280551	0.9282700421940929
6000	66888	0.1404009	69.15	0.9083750894774517	0.7218430034129693	0.8044374009508716
8000	74728	0.1872012	91.0	0.9265021459227468	0.9757062146892655	0.9504678040726473
10000	78616	0.2028013	80.45	0.9443084455324358	0.8372219207813347	0.8875467356916882
12000	28904	0.2340015	73.4	0.9313131313131313	0.7628240485383343	0.8386901152213463
14000	28904	0.2496016	91.15	0.9258485639686684	0.980641592920354	0.9524576954069299
16000	28904	0.2964019	86.4	0.9458357600465929	0.9007210205213533	0.9227272727272726
18000	60896	0.3276021	56.55	0.9359205776173285	0.5651226158038147	0.7047230716955487
20000	61592	0.3588023	67.1	0.9311926605504587	0.6819708846584547	0.7873303167420815
22000	65696	0.3900025	53.1	0.9458413926499033	0.5258064516129032	0.6758811333794056
24000	69568	0.4212027	28.7	0.9971910112359551	0.199438202247191	0.3323970037453184
26000	98008	0.4992032	66.2	0.9344909234411997	0.6662915025323579	0.7779237844940867
28000	125696	0.5304034	42.2	0.9515738498789347	0.9368295589988082	0.9441441441441443
