sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.0	39.6	0.396	1.0	0.5673352435530087
2000	11896	0.0156001	86.25	0.9010654490106544	0.7381546134663342	0.8115147361206305
4000	15840	0.0156001	76.8	0.8649289099526066	0.4727979274611399	0.6113902847571189
6000	19816	0.0312002	72.95	0.8978388998035364	0.48308668076109934	0.6281786941580756
8000	19816	0.0312002	85.3	0.7891805887032617	0.9715964740450539	0.8709394205443373
10000	23744	0.0312002	77.8	0.7449596774193549	0.7946236559139785	0.7689906347554631
12000	46784	0.0468003	67.4	0.6289962825278811	0.8468468468468469	0.7218430034129694
14000	46784	0.0468003	70.8	0.8767908309455588	0.3612750885478158	0.5117056856187291
16000	47064	0.0468003	70.2	0.6304985337243402	0.5555555555555556	0.5906593406593407
18000	53808	0.0624004	80.2	0.973630831643002	0.5561993047508691	0.7079646017699115
20000	53920	0.0624004	72.55	0.9774011299435028	0.24094707520891365	0.38659217877094976
22000	82328	0.0624004	65.6	0.8199052132701422	0.21020656136087484	0.3346228239845261
24000	82592	0.0624004	77.25	0.8421052631578947	0.5470085470085471	0.6632124352331606
26000	82816	0.0780005	71.85	0.7887640449438202	0.42804878048780487	0.5549407114624506
28000	107280	0.0936006	60.55	0.49193548387096775	0.47104247104247104	0.4812623274161736
30000	107280	0.0936006	74.1	0.6776649746192893	0.6691729323308271	0.6733921815889029
32000	115232	0.1092007	68.85	0.6083916083916084	0.725	0.6615969581749049
34000	115600	0.1092007	62.4	0.485414235705951	0.5722145804676754	0.5252525252525253
36000	119400	0.1092007	67.65	0.5200746965452848	0.8072463768115942	0.6325951164111301
38000	119992	0.1092007	69.3	0.6450924608819346	0.8874755381604696	0.7471169686985173
40000	120216	0.1092007	82.75	0.8151183970856102	0.863066538090646	0.838407494145199
42000	142616	0.1248008	76.2	0.7192118226600985	0.7019230769230769	0.7104622871046228
44000	143080	0.1248008	51.3	0.8447488584474886	0.6292517006802721	0.7212475633528266
