sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.1404009	5.5	0.055	1.0	0.1042654028436019
2000	26744	0.2808018	76.95	0.06802721088435375	0.375	0.11516314779270632
4000	30688	0.3744024	91.2	0.26666666666666666	0.2204724409448819	0.2413793103448276
6000	30952	0.4212027	59.8	0.07823960880195599	0.5614035087719298	0.13733905579399142
8000	38744	0.4836031	94.2	0.45454545454545453	0.13274336283185842	0.20547945205479454
10000	38744	0.4836031	32.95	0.06405693950177936	0.7758620689655172	0.11834319526627218
12000	45216	0.5148033	80.0	0.056338028169014086	0.23529411764705882	0.09090909090909091
14000	49296	0.5460035	82.75	0.11384615384615385	0.39361702127659576	0.17661097852028637
16000	61840	0.5928038	73.8	0.12093862815884476	0.6442307692307693	0.20364741641337386
18000	69464	0.6396041	67.0	0.07784431137724551	0.5416666666666666	0.13612565445026178
20000	70160	0.6708043	71.35	0.09556313993174062	0.5656565656565656	0.1635036496350365
22000	73864	0.7020045	46.65	0.07678883071553229	0.9072164948453608	0.1415929203539823
24000	74328	0.7176046	66.65	0.12022630834512023	0.6538461538461539	0.2031063321385902
26000	74328	0.7488048	60.3	0.12933753943217666	0.5857142857142857	0.21188630490956073
