sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24512	0.0	9.25	0.0925	1.0	0.16933638443935925
2000	33952	0.0156001	92.6	1.0	0.14450867052023122	0.25252525252525254
4000	38104	0.0156001	87.6	1.0	0.05343511450381679	0.10144927536231885
6000	46224	0.0156001	86.5	0.44694533762057875	0.5864978902953587	0.5072992700729928
8000	46224	0.0312002	89.15	0.6415094339622641	0.14655172413793102	0.23859649122807014
10000	68544	0.0468003	88.9	0.40782122905027934	0.3862433862433862	0.3967391304347826
12000	71472	0.0624004	91.8	1.0	0.14583333333333334	0.2545454545454546
14000	71632	0.0624004	91.45	0.5393258426966292	0.2696629213483146	0.3595505617977528
16000	71744	0.0624004	89.9	0.5833333333333334	0.25688073394495414	0.356687898089172
18000	71856	0.0624004	91.8	1.0	0.07865168539325842	0.14583333333333334
20000	71856	0.0780005	90.35	0.8181818181818182	0.08695652173913043	0.1572052401746725
22000	72024	0.0780005	91.45	0.46	0.2822085889570552	0.34980988593155893
24000	72024	0.0780005	64.9	0.2206896551724138	0.8888888888888888	0.35359116022099446
26000	30376	0.0936006	88.85	0.5373134328358209	0.15789473684210525	0.24406779661016945
28000	34560	0.1092007	48.95	0.9245283018867925	0.47115384615384615	0.6242038216560509
