sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	25688	0.0	8.85	0.0885	1.0	0.1626090950849793
2000	33488	0.0	93.35	0.9272727272727272	0.2833333333333333	0.4340425531914894
4000	37480	0.0	88.7	0.8518518518518519	0.17424242424242425	0.2893081761006289
6000	41448	0.0156001	87.85	0.4609375	0.5291479820627802	0.49269311064718163
8000	41448	0.0156001	90.55	0.8431372549019608	0.19196428571428573	0.31272727272727274
10000	64280	0.0156001	73.5	0.14450867052023122	0.4658385093167702	0.22058823529411767
12000	66328	0.0312002	91.25	1.0	0.1116751269035533	0.2009132420091324
14000	66568	0.0312002	92.4	0.717391304347826	0.19186046511627908	0.30275229357798167
16000	66680	0.0312002	89.35	0.3392857142857143	0.09743589743589744	0.15139442231075698
18000	66680	0.0468003	91.85	0.8181818181818182	0.052941176470588235	0.09944751381215469
20000	66680	0.0468003	90.35	0.8571428571428571	0.030303030303030304	0.05853658536585366
22000	66680	0.0468003	91.6	0.45045045045045046	0.3184713375796178	0.373134328358209
24000	70824	0.0468003	82.3	0.33783783783783783	0.7142857142857143	0.4587155963302752
26000	29744	0.0468003	88.3	0.6538461538461539	0.136	0.22516556291390727
28000	33944	0.0624004	43.65	1.0	0.18269230769230768	0.30894308943089427
