sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24512	0.0156001	9.2	0.092	1.0	0.16849816849816848
2000	52800	0.0468003	75.95	0.16043956043956045	0.42441860465116277	0.23285486443381181
4000	30128	0.0936006	88.9	0.975	0.15	0.26
6000	30136	0.1248008	60.75	0.15782983970406905	0.5565217391304348	0.24591738712776176
8000	52952	0.1716011	88.9	0.4418604651162791	0.1792452830188679	0.2550335570469799
10000	53120	0.1872012	52.6	0.10230692076228685	0.6580645161290323	0.17708333333333331
12000	30208	0.2028013	88.2	0.35294117647058826	0.4090909090909091	0.37894736842105264
14000	30208	0.2184014	91.35	0.5125	0.2342857142857143	0.32156862745098036
16000	30376	0.2496016	84.8	0.3418079096045198	0.6302083333333334	0.44322344322344326
18000	30376	0.2808018	30.75	0.09707446808510638	0.8439306358381503	0.17412045319022065
20000	30376	0.2964019	70.45	0.17886178861788618	0.5612244897959183	0.2712700369913687
22000	33952	0.3276021	70.35	0.15336463223787167	0.6533333333333333	0.24841571609632443
24000	34600	0.3588023	71.75	0.25673758865248225	0.8153153153153153	0.39050701186623515
26000	30376	0.4212027	88.35	0.6526315789473685	0.2366412213740458	0.3473389355742297
28000	30376	0.4524029	41.3	0.4689655172413793	0.6938775510204082	0.5596707818930041
