sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24848	0.0156001	7.9	0.079	1.0	0.14643188137164043
2000	51496	0.0624004	88.65	0.36231884057971014	0.26455026455026454	0.30581039755351686
4000	66904	0.1248008	88.6	0.5666666666666667	0.2786885245901639	0.3736263736263736
6000	74752	0.1716011	76.85	0.3028571428571429	0.62109375	0.4071702944942382
8000	82584	0.2184014	90.7	0.8333333333333334	0.2892561983471074	0.42944785276073616
10000	86568	0.2496016	73.85	0.15151515151515152	0.5161290322580645	0.2342606149341142
12000	32760	0.312002	91.05	0.5590551181102362	0.36597938144329895	0.4423676012461059
14000	61608	0.3432022	88.7	0.40331491712707185	0.38219895287958117	0.3924731182795699
16000	61608	0.3900025	84.2	0.3268156424581006	0.609375	0.4254545454545455
18000	61608	0.4056026	92.45	0.6551724137931034	0.22485207100591717	0.33480176211453744
20000	28904	0.4524029	80.2	0.22935779816513763	0.3424657534246575	0.27472527472527475
22000	28904	0.4836031	69.55	0.13070866141732285	0.5928571428571429	0.2141935483870968
24000	33128	0.5304034	68.4	0.26009501187648454	0.9605263157894737	0.40934579439252333
26000	44680	0.5616036	90.8	0.5828025477707006	0.7754237288135594	0.6654545454545454
28000	45384	0.5616036	44.95	0.5367647058823529	0.6186440677966102	0.5748031496062992
