sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	23792	0.109375	90.4	0.0	0.0	0.0
2000	30320	0.28125	9.75	0.0975	1.0	0.17767653758542143
4000	30320	0.46875	10.25	0.1025	1.0	0.18594104308390022
6000	30320	0.609375	9.3	0.093	1.0	0.17017383348581885
8000	30320	0.765625	10.8	0.108	1.0	0.19494584837545126
10000	30320	0.921875	10.0	0.1	1.0	0.18181818181818182
12000	30320	1.078125	10.35	0.1035	1.0	0.18758495695514274
14000	30320	1.265625	10.2	0.102	1.0	0.18511796733212338
16000	30320	1.40625	10.35	0.1035	1.0	0.18758495695514274
18000	30320	1.5625	10.15	0.1015	1.0	0.18429414434861555
20000	30320	1.734375	10.4	0.104	1.0	0.18840579710144925
22000	30320	1.875	10.15	0.1015	1.0	0.18429414434861555
24000	30320	2.03125	10.35	0.1035	1.0	0.18758495695514274
26000	30320	2.1875	10.35	0.1035	1.0	0.18758495695514274
28000	30320	2.34375	9.7	0.097	1.0	0.17684594348222427
30000	30320	2.5	10.25	0.1025	1.0	0.18594104308390022
32000	30152	2.65625	9.45	0.0945	1.0	0.1726815897670169
34000	30320	2.859375	10.65	0.1065	1.0	0.19249887031179394
36000	30320	3.015625	8.95	0.0895	1.0	0.1642955484167049
38000	30320	3.171875	10.05	0.1005	1.0	0.1826442526124489
40000	30320	3.328125	10.15	0.1015	1.0	0.18429414434861555
42000	30320	3.46875	9.85	0.0985	1.0	0.17933545744196633
44000	30320	3.609375	9.5	0.095	1.0	0.17351598173515984
46000	30320	3.765625	10.7	0.107	1.0	0.1933152664859982
48000	30320	3.953125	10.9	0.109	1.0	0.19657348963029755
50000	30320	4.140625	11.5	0.115	1.0	0.2062780269058296
52000	30320	4.328125	10.65	0.1065	1.0	0.19249887031179394
54000	30320	4.5	10.35	0.1035	1.0	0.18758495695514274
56000	30320	4.65625	10.15	0.1015	1.0	0.18429414434861555
58000	30320	4.8125	9.9	0.099	1.0	0.18016378525932666
60000	30320	4.953125	9.75	0.0975	1.0	0.17767653758542143
62000	30152	5.125	10.45	0.1045	1.0	0.1892258940697148
64000	30320	5.296875	9.9	0.099	1.0	0.18016378525932666
66000	30320	5.4375	9.25	0.0925	1.0	0.16933638443935925
68000	30320	5.578125	10.1	0.101	1.0	0.1834695731153497
70000	30320	5.8125	12.15	0.1215	1.0	0.2166740971912617
72000	30320	5.953125	9.2	0.092	1.0	0.16849816849816848
74000	30152	6.125	10.9	0.109	1.0	0.19657348963029755
76000	30152	6.28125	9.3	0.093	1.0	0.17017383348581885
78000	30320	6.453125	10.75	0.1075	1.0	0.19413092550790068
80000	30320	6.65625	12.3	0.123	1.0	0.21905609973285842
82000	30320	6.8125	10.1	0.101	1.0	0.1834695731153497
84000	30320	6.984375	10.5	0.105	1.0	0.19004524886877827
86000	30320	7.125	9.95	0.0995	1.0	0.18099135970895863
88000	30320	7.28125	9.95	0.0995	1.0	0.18099135970895863
90000	30320	7.4375	10.2	0.102	1.0	0.18511796733212338
92000	30320	7.578125	9.95	0.0995	1.0	0.18099135970895863
94000	30320	7.71875	9.7	0.097	1.0	0.17684594348222427
96000	30320	7.890625	10.45	0.1045	1.0	0.1892258940697148
98000	30320	8.015625	8.8	0.088	1.0	0.16176470588235292
100000	30320	8.203125	11.5	0.115	1.0	0.2062780269058296
102000	30320	8.375	10.35	0.1035	1.0	0.18758495695514274
104000	30320	8.546875	10.0	0.1	1.0	0.18181818181818182
106000	30320	8.671875	8.9	0.089	1.0	0.16345270890725436
108000	30320	8.859375	10.1	0.101	1.0	0.1834695731153497
110000	30320	9.015625	9.6	0.096	1.0	0.1751824817518248
112000	30320	9.171875	10.35	0.1035	1.0	0.18758495695514274
114000	30320	9.296875	9.3	0.093	1.0	0.17017383348581885
116000	30320	9.453125	9.6	0.096	1.0	0.1751824817518248
118000	30320	9.625	10.2	0.102	1.0	0.18511796733212338
120000	30320	9.78125	10.1	0.101	1.0	0.1834695731153497
