sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	24824	0.125	90.4	0.0	0.0	0.0
2000	29712	0.296875	9.75	0.0975	1.0	0.17767653758542143
4000	29712	0.453125	10.25	0.1025	1.0	0.18594104308390022
6000	29712	0.578125	9.3	0.093	1.0	0.17017383348581885
8000	34768	0.75	10.8	0.108	1.0	0.19494584837545126
10000	29712	0.90625	10.0	0.1	1.0	0.18181818181818182
12000	29712	1.0625	10.35	0.1035	1.0	0.18758495695514274
14000	29712	1.203125	10.2	0.102	1.0	0.18511796733212338
16000	29712	1.359375	10.35	0.1035	1.0	0.18758495695514274
18000	29712	1.5	10.15	0.1015	1.0	0.18429414434861555
20000	29712	1.6875	10.4	0.104	1.0	0.18840579710144925
22000	29712	1.828125	10.15	0.1015	1.0	0.18429414434861555
24000	29712	1.984375	10.35	0.1035	1.0	0.18758495695514274
26000	29712	2.140625	10.35	0.1035	1.0	0.18758495695514274
28000	34768	2.28125	9.7	0.097	1.0	0.17684594348222427
30000	29712	2.453125	10.25	0.1025	1.0	0.18594104308390022
32000	29712	2.59375	9.45	0.0945	1.0	0.1726815897670169
34000	34768	2.765625	10.65	0.1065	1.0	0.19249887031179394
36000	41664	2.890625	76.95	0.2508833922261484	0.7932960893854749	0.3812080536912752
38000	29712	3.046875	10.05	0.1005	1.0	0.1826442526124489
40000	30112	3.203125	20.55	0.1097972972972973	0.9605911330049262	0.19706922688226375
42000	34768	3.359375	9.85	0.0985	1.0	0.17933545744196633
44000	29712	3.515625	9.5	0.095	1.0	0.17351598173515984
46000	34768	3.6875	10.7	0.107	1.0	0.1933152664859982
48000	29712	3.84375	10.9	0.109	1.0	0.19657348963029755
50000	29712	4.015625	11.5	0.115	1.0	0.2062780269058296
52000	29712	4.1875	10.65	0.1065	1.0	0.19249887031179394
54000	29712	4.34375	10.35	0.1035	1.0	0.18758495695514274
56000	29712	4.453125	10.15	0.1015	1.0	0.18429414434861555
58000	29712	4.59375	9.9	0.099	1.0	0.18016378525932666
60000	29712	4.734375	9.75	0.0975	1.0	0.17767653758542143
62000	29712	4.921875	10.45	0.1045	1.0	0.1892258940697148
64000	29712	5.046875	9.9	0.099	1.0	0.18016378525932666
66000	29712	5.15625	9.25	0.0925	1.0	0.16933638443935925
68000	29712	5.3125	10.1	0.101	1.0	0.1834695731153497
70000	34768	5.546875	12.15	0.1215	1.0	0.2166740971912617
72000	34768	5.6875	9.2	0.092	1.0	0.16849816849816848
74000	34768	5.859375	10.9	0.109	1.0	0.19657348963029755
76000	34768	6.0	9.3	0.093	1.0	0.17017383348581885
78000	40544	6.15625	10.75	0.1075	1.0	0.19413092550790068
80000	40544	6.375	18.1	0.12660944206008584	0.959349593495935	0.223696682464455
82000	34768	6.53125	10.1	0.101	1.0	0.1834695731153497
84000	29712	6.671875	10.5	0.105	1.0	0.19004524886877827
86000	29712	6.828125	9.95	0.0995	1.0	0.18099135970895863
88000	29712	6.96875	9.95	0.0995	1.0	0.18099135970895863
90000	29712	7.125	10.2	0.102	1.0	0.18511796733212338
92000	29712	7.25	9.95	0.0995	1.0	0.18099135970895863
94000	29712	7.390625	9.7	0.097	1.0	0.17684594348222427
96000	29712	7.5625	10.45	0.1045	1.0	0.1892258940697148
98000	29712	7.6875	8.8	0.088	1.0	0.16176470588235292
100000	29712	7.875	11.5	0.115	1.0	0.2062780269058296
102000	29712	8.03125	10.35	0.1035	1.0	0.18758495695514274
104000	29712	8.1875	10.0	0.1	1.0	0.18181818181818182
106000	29712	8.328125	8.9	0.089	1.0	0.16345270890725436
108000	34768	8.484375	10.1	0.101	1.0	0.1834695731153497
110000	29712	8.65625	9.6	0.096	1.0	0.1751824817518248
112000	34768	8.8125	10.35	0.1035	1.0	0.18758495695514274
114000	34768	8.953125	9.3	0.093	1.0	0.17017383348581885
116000	29712	9.09375	9.6	0.096	1.0	0.1751824817518248
118000	29712	9.234375	10.2	0.102	1.0	0.18511796733212338
120000	34768	9.375	10.1	0.101	1.0	0.1834695731153497
122000	34768	9.5625	11.05	0.1105	1.0	0.1990094552003602
124000	29712	9.71875	9.9	0.099	1.0	0.18016378525932666
