sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.0	50.0	0.0	0.0	0.0
2000	11200	0.125	74.3	0.7139084507042254	0.811	0.75936329588015
4000	22064	0.171875	74.7	0.7578288100208769	0.726	0.7415730337078651
6000	22064	0.1875	73.5	0.7478902953586498	0.709	0.7279260780287475
8000	27816	0.234375	66.05	0.6547733847637416	0.679	0.6666666666666667
10000	27816	0.234375	63.1	0.6231203007518797	0.663	0.6424418604651163
12000	33248	0.25	61.15	0.6172450052576236	0.587	0.601742696053306
14000	39320	0.265625	54.75	0.5703703703703704	0.385	0.45970149253731346
16000	39320	0.28125	61.25	0.6080691642651297	0.633	0.6202841744243018
18000	39320	0.296875	60.55	0.5983224603914259	0.642	0.6193921852387844
20000	50824	0.328125	58.95	0.6224350205198358	0.455	0.5257076834199885
22000	50824	0.34375	59.15	0.5993485342019544	0.552	0.5747006767308693
24000	62088	0.375	61.15	0.7190569744597249	0.366	0.4850894632206759
26000	68080	0.40625	60.3	0.6136865342163356	0.556	0.5834207764952781
28000	78944	0.4375	67.15	0.696	0.609	0.6496
30000	78944	0.453125	68.9	0.7554054054054054	0.559	0.6425287356321838
32000	84376	0.484375	74.35	0.8183006535947712	0.626	0.7093484419263455
34000	84376	0.484375	77.55	0.8688085676037484	0.649	0.7429879793932455
36000	84640	0.515625	76.35	0.863448275862069	0.626	0.7257971014492753
38000	89568	0.53125	75.45	0.8283870967741935	0.642	0.7233802816901408
40000	101312	0.5625	71.1	0.7705128205128206	0.601	0.6752808988764045
42000	106744	0.578125	72.6	0.7344398340248963	0.708	0.7209775967413442
44000	112816	0.59375	68.45	0.6758817921830315	0.709	0.6920448999511957
46000	118568	0.609375	65.35	0.6515301085883515	0.66	0.6557377049180328
48000	124000	0.625	65.2	0.6475728155339806	0.667	0.6571428571428571
50000	129192	0.640625	63.1	0.6323232323232323	0.626	0.629145728643216
52000	129752	0.65625	58.0	0.5826446280991735	0.564	0.573170731707317
54000	129752	0.671875	56.9	0.5667311411992263	0.586	0.576204523107178
56000	129752	0.6875	59.05	0.5714285714285714	0.724	0.6387295985884429
58000	135504	0.703125	52.8	0.5241796200345423	0.607	0.5625579240037072
60000	140936	0.734375	57.55	0.5695852534562212	0.618	0.5928057553956835
62000	140936	0.75	56.5	0.553453947368421	0.673	0.6074007220216606
64000	152760	0.765625	52.95	0.5260831122900088	0.595	0.5584232754575317
66000	152760	0.78125	56.1	0.5530434782608695	0.636	0.5916279069767442
68000	164264	0.8125	63.5	0.6448497854077253	0.601	0.6221532091097308
70000	169456	0.828125	63.9	0.6354775828460039	0.652	0.6436327739387957
72000	180960	0.859375	68.7	0.7210401891252955	0.61	0.6608884073672805
74000	187272	0.890625	70.7	0.7029411764705882	0.717	0.7099009900990099
76000	187272	0.90625	69.25	0.6842105263157895	0.715	0.6992665036674817
78000	187272	0.9375	68.4	0.6796875	0.696	0.6877470355731224
80000	193344	0.953125	72.4	0.7318840579710145	0.707	0.7192268565615464
82000	198776	0.96875	65.75	0.6554787759131293	0.664	0.6597118728266269
84000	203960	0.984375	61.85	0.6198179979777553	0.613	0.6163901458019104
86000	204784	1.0	63.9	0.6328871892925431	0.662	0.6471163245356795
88000	209712	1.015625	61.25	0.6072449952335558	0.637	0.6217667154709615
90000	210280	1.03125	59.6	0.5952380952380952	0.6	0.5976095617529881
92000	221224	1.046875	57.05	0.5770491803278689	0.528	0.5514360313315928
94000	232272	1.0625	55.85	0.5667046750285063	0.497	0.5295684603090037
96000	239120	1.078125	53.35	0.5329400196656834	0.542	0.5374318294496777
98000	239680	1.09375	52.55	0.5242165242165242	0.552	0.5377496346809547
100000	239680	1.109375	56.9	0.5596885813148789	0.647	0.6001855287569573
102000	251184	1.125	59.95	0.5961352657004831	0.617	0.6063882063882063
104000	251184	1.125	58.5	0.5841584158415841	0.59	0.5870646766169154
106000	251184	1.140625	53.35	0.53081876724931	0.577	0.5529468136080499
108000	251184	1.15625	52.6	0.5224913494809689	0.604	0.5602968460111317
110000	257192	1.171875	58.05	0.5980511571254568	0.491	0.5392641405820978
112000	267800	1.1875	60.1	0.601	0.601	0.601
114000	273552	1.203125	61.9	0.6159844054580896	0.632	0.6238894373149062
116000	273552	1.203125	60.75	0.6130389064143007	0.583	0.5976422347514095
118000	273552	1.203125	67.7	0.6536458333333334	0.753	0.699814126394052
120000	273552	1.203125	64.6	0.632486388384755	0.697	0.6631779257849667
122000	283856	1.234375	63.6	0.6362725450901804	0.635	0.6356356356356356
124000	289288	1.25	63.05	0.6383881230116649	0.602	0.6196603190941842
126000	289848	1.25	60.75	0.6073926073926074	0.608	0.6076961519240379
128000	289848	1.265625	57.85	0.5715587967183227	0.627	0.5979971387696709
130000	300072	1.296875	57.65	0.5755182625863771	0.583	0.5792349726775956
132000	306464	1.328125	58.25	0.5756186984417965	0.628	0.6006695361071258
134000	317648	1.34375	54.15	0.5356223175965665	0.624	0.5764434180138568
136000	317648	1.359375	55.15	0.5461883408071749	0.609	0.5758865248226951
138000	318232	1.375	55.7	0.5521023765996343	0.604	0.5768863419293219
140000	323424	1.390625	61.3	0.6182008368200836	0.591	0.6042944785276074
142000	328912	1.421875	57.6	0.5684684684684684	0.631	0.5981042654028436
144000	329472	1.4375	54.65	0.5409691629955947	0.614	0.5751756440281031
146000	329472	1.453125	58.35	0.5744870651204282	0.644	0.6072607260726073
148000	334584	1.46875	59.85	0.5877114870881567	0.66	0.6217616580310881
150000	340336	1.484375	63.5	0.6298076923076923	0.655	0.642156862745098
152000	346088	1.5	65.45	0.66996699669967	0.609	0.6380303823991619
154000	351120	1.515625	66.6	0.6663326653306614	0.665	0.6656656656656657
156000	361504	1.53125	63.8	0.6374501992031872	0.64	0.6387225548902196
158000	362624	1.546875	65.2	0.644212523719165	0.679	0.6611489776046737
160000	363024	1.578125	64.5	0.6337638376383764	0.687	0.6593090211132439
162000	362912	1.59375	66.35	0.6595121951219513	0.676	0.6676543209876544
164000	373568	1.609375	57.5	0.5678119349005425	0.628	0.5963912630579298
166000	373568	1.625	56.6	0.5564102564102564	0.651	0.6
168000	373568	1.640625	58.3	0.5683690280065898	0.69	0.6233062330623306
170000	383392	1.65625	57.0	0.5614035087719298	0.64	0.5981308411214953
172000	390264	1.671875	56.9	0.5607394366197183	0.637	0.596441947565543
174000	390264	1.6875	58.35	0.5695253955037469	0.684	0.6215356656065425
176000	396576	1.71875	58.2	0.5738738738738739	0.637	0.6037914691943128
178000	396576	1.71875	60.5	0.59391771019678	0.664	0.6270066100094429
180000	401608	1.734375	58.75	0.5745950554134698	0.674	0.620340543028072
182000	402008	1.75	57.05	0.5595942519019442	0.662	0.6065048098946405
184000	402008	1.75	60.55	0.5852869846402587	0.724	0.6472954850245866
186000	407440	1.765625	62.6	0.606418918918919	0.718	0.6575091575091575
188000	412736	1.78125	61.9	0.6054964539007093	0.683	0.6419172932330828
190000	418168	1.796875	66.45	0.6559241706161137	0.692	0.6734793187347933
