sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.34375	89.9	0.0	0.0	0.0
2000	1208	0.5625	77.5	0.3212669683257919	1.0	0.48630136986301375
4000	4280	0.765625	100.0	1.0	1.0	1.0
6000	4280	0.921875	100.0	1.0	1.0	1.0
8000	4280	1.078125	100.0	1.0	1.0	1.0
10000	4280	1.265625	100.0	1.0	1.0	1.0
12000	4280	1.40625	100.0	1.0	1.0	1.0
14000	4280	1.546875	100.0	1.0	1.0	1.0
16000	4280	1.6875	100.0	1.0	1.0	1.0
18000	4280	1.75	100.0	1.0	1.0	1.0
20000	4280	1.796875	100.0	1.0	1.0	1.0
22000	4280	1.84375	100.0	1.0	1.0	1.0
24000	4280	1.890625	100.0	1.0	1.0	1.0
26000	4280	1.921875	100.0	1.0	1.0	1.0
28000	4280	1.96875	100.0	1.0	1.0	1.0
30000	4280	2.015625	100.0	1.0	1.0	1.0
32000	4280	2.0625	100.0	1.0	1.0	1.0
34000	4280	2.109375	100.0	1.0	1.0	1.0
36000	4280	2.15625	100.0	1.0	1.0	1.0
38000	4280	2.203125	100.0	1.0	1.0	1.0
40000	4280	2.25	100.0	1.0	1.0	1.0
42000	4280	2.28125	100.0	1.0	1.0	1.0
44000	4280	2.34375	100.0	1.0	1.0	1.0
46000	4280	2.390625	100.0	1.0	1.0	1.0
48000	4280	2.4375	100.0	1.0	1.0	1.0
50000	4280	2.484375	100.0	1.0	1.0	1.0
52000	4280	2.53125	100.0	1.0	1.0	1.0
54000	4280	2.578125	100.0	1.0	1.0	1.0
56000	4280	2.625	100.0	1.0	1.0	1.0
58000	4280	2.671875	100.0	1.0	1.0	1.0
60000	4280	2.71875	100.0	1.0	1.0	1.0
62000	4280	2.765625	100.0	1.0	1.0	1.0
64000	4280	2.796875	100.0	1.0	1.0	1.0
66000	4280	2.84375	100.0	1.0	1.0	1.0
68000	4280	2.875	100.0	1.0	1.0	1.0
70000	4280	2.90625	100.0	1.0	1.0	1.0
72000	4280	2.96875	100.0	1.0	1.0	1.0
74000	4280	3.015625	100.0	1.0	1.0	1.0
76000	4280	3.0625	100.0	1.0	1.0	1.0
78000	4280	3.109375	100.0	1.0	1.0	1.0
80000	4280	3.140625	100.0	1.0	1.0	1.0
82000	4280	3.1875	100.0	1.0	1.0	1.0
84000	4280	3.234375	100.0	1.0	1.0	1.0
86000	4280	3.265625	100.0	1.0	1.0	1.0
88000	4280	3.3125	100.0	1.0	1.0	1.0
90000	4280	3.359375	100.0	1.0	1.0	1.0
92000	4280	3.40625	100.0	1.0	1.0	1.0
94000	4280	3.4375	100.0	1.0	1.0	1.0
96000	4280	3.5	100.0	1.0	1.0	1.0
