sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	23688	0.03125	89.9	0.0	0.0	0.0
2000	24784	0.09375	77.5	0.3212669683257919	1.0	0.48630136986301375
4000	27888	0.140625	100.0	1.0	1.0	1.0
6000	27888	0.1875	100.0	1.0	1.0	1.0
8000	27888	0.21875	100.0	1.0	1.0	1.0
10000	27888	0.265625	100.0	1.0	1.0	1.0
12000	27888	0.3125	100.0	1.0	1.0	1.0
14000	27888	0.328125	100.0	1.0	1.0	1.0
16000	27888	0.359375	100.0	1.0	1.0	1.0
18000	27888	0.40625	100.0	1.0	1.0	1.0
20000	27888	0.4375	100.0	1.0	1.0	1.0
22000	27888	0.484375	100.0	1.0	1.0	1.0
24000	27888	0.515625	100.0	1.0	1.0	1.0
26000	27888	0.5625	100.0	1.0	1.0	1.0
28000	27888	0.609375	100.0	1.0	1.0	1.0
30000	27888	0.65625	100.0	1.0	1.0	1.0
32000	27888	0.703125	100.0	1.0	1.0	1.0
34000	27888	0.734375	100.0	1.0	1.0	1.0
36000	27888	0.765625	100.0	1.0	1.0	1.0
38000	27888	0.796875	100.0	1.0	1.0	1.0
40000	27888	0.84375	100.0	1.0	1.0	1.0
42000	27888	0.875	100.0	1.0	1.0	1.0
44000	27888	0.921875	100.0	1.0	1.0	1.0
46000	27888	0.96875	100.0	1.0	1.0	1.0
48000	27888	1.015625	100.0	1.0	1.0	1.0
50000	27888	1.046875	100.0	1.0	1.0	1.0
52000	27888	1.09375	100.0	1.0	1.0	1.0
54000	27888	1.125	100.0	1.0	1.0	1.0
56000	27888	1.171875	100.0	1.0	1.0	1.0
58000	27888	1.21875	100.0	1.0	1.0	1.0
60000	27888	1.25	100.0	1.0	1.0	1.0
62000	27888	1.265625	100.0	1.0	1.0	1.0
64000	27888	1.3125	100.0	1.0	1.0	1.0
66000	27888	1.359375	100.0	1.0	1.0	1.0
68000	27888	1.390625	100.0	1.0	1.0	1.0
70000	27888	1.421875	100.0	1.0	1.0	1.0
72000	27888	1.46875	100.0	1.0	1.0	1.0
74000	27888	1.515625	100.0	1.0	1.0	1.0
76000	27888	1.5625	100.0	1.0	1.0	1.0
78000	27888	1.609375	100.0	1.0	1.0	1.0
80000	27888	1.640625	100.0	1.0	1.0	1.0
82000	27888	1.6875	100.0	1.0	1.0	1.0
84000	27888	1.734375	100.0	1.0	1.0	1.0
86000	27888	1.765625	100.0	1.0	1.0	1.0
88000	27888	1.796875	100.0	1.0	1.0	1.0
90000	27888	1.84375	100.0	1.0	1.0	1.0
92000	27888	1.890625	100.0	1.0	1.0	1.0
94000	27888	1.921875	100.0	1.0	1.0	1.0
96000	27888	1.96875	100.0	1.0	1.0	1.0
98000	27888	2.015625	100.0	1.0	1.0	1.0
100000	27888	2.0625	100.0	1.0	1.0	1.0
102000	27888	2.09375	100.0	1.0	1.0	1.0
104000	27888	2.125	100.0	1.0	1.0	1.0
106000	27888	2.15625	100.0	1.0	1.0	1.0
108000	27888	2.203125	100.0	1.0	1.0	1.0
110000	27888	2.234375	100.0	1.0	1.0	1.0
112000	27888	2.28125	100.0	1.0	1.0	1.0
114000	27888	2.328125	100.0	1.0	1.0	1.0
116000	27888	2.375	100.0	1.0	1.0	1.0
118000	27888	2.40625	100.0	1.0	1.0	1.0
120000	27888	2.453125	100.0	1.0	1.0	1.0
122000	27888	2.484375	100.0	1.0	1.0	1.0
124000	27888	2.515625	100.0	1.0	1.0	1.0
126000	27888	2.5625	100.0	1.0	1.0	1.0
128000	27888	2.59375	100.0	1.0	1.0	1.0
130000	27888	2.625	100.0	1.0	1.0	1.0
132000	27888	2.640625	100.0	1.0	1.0	1.0
134000	27888	2.671875	100.0	1.0	1.0	1.0
136000	27888	2.71875	100.0	1.0	1.0	1.0
138000	27888	2.75	100.0	1.0	1.0	1.0
140000	27888	2.796875	100.0	1.0	1.0	1.0
142000	27888	2.84375	100.0	1.0	1.0	1.0
144000	27888	2.90625	100.0	1.0	1.0	1.0
146000	27888	2.953125	100.0	1.0	1.0	1.0
148000	27888	3.0	100.0	1.0	1.0	1.0
150000	27888	3.03125	100.0	1.0	1.0	1.0
152000	27888	3.078125	100.0	1.0	1.0	1.0
154000	27888	3.125	100.0	1.0	1.0	1.0
156000	27888	3.15625	100.0	1.0	1.0	1.0
158000	27888	3.1875	100.0	1.0	1.0	1.0
160000	27888	3.234375	100.0	1.0	1.0	1.0
162000	27888	3.265625	100.0	1.0	1.0	1.0
164000	27888	3.3125	100.0	1.0	1.0	1.0
166000	27888	3.34375	100.0	1.0	1.0	1.0
168000	27888	3.390625	100.0	1.0	1.0	1.0
170000	27888	3.421875	100.0	1.0	1.0	1.0
172000	27888	3.46875	100.0	1.0	1.0	1.0
174000	27888	3.5	100.0	1.0	1.0	1.0
176000	27888	3.546875	100.0	1.0	1.0	1.0
178000	27888	3.578125	100.0	1.0	1.0	1.0
180000	27888	3.609375	100.0	1.0	1.0	1.0
182000	27888	3.65625	100.0	1.0	1.0	1.0
184000	27888	3.703125	100.0	1.0	1.0	1.0
186000	27888	3.734375	100.0	1.0	1.0	1.0
188000	27888	3.765625	100.0	1.0	1.0	1.0
190000	27888	3.796875	100.0	1.0	1.0	1.0
192000	27888	3.84375	100.0	1.0	1.0	1.0
194000	27888	3.875	100.0	1.0	1.0	1.0
196000	27888	3.921875	100.0	1.0	1.0	1.0
198000	27888	3.953125	100.0	1.0	1.0	1.0
200000	27888	4.0	100.0	1.0	1.0	1.0
202000	27888	4.046875	100.0	1.0	1.0	1.0
204000	27888	4.09375	100.0	1.0	1.0	1.0
206000	27888	4.140625	100.0	1.0	1.0	1.0
208000	27888	4.171875	100.0	1.0	1.0	1.0
210000	27888	4.203125	100.0	1.0	1.0	1.0
212000	27888	4.234375	100.0	1.0	1.0	1.0
214000	27888	4.28125	100.0	1.0	1.0	1.0
216000	27888	4.34375	100.0	1.0	1.0	1.0
218000	27888	4.390625	100.0	1.0	1.0	1.0
220000	27888	4.421875	100.0	1.0	1.0	1.0
222000	27888	4.46875	100.0	1.0	1.0	1.0
224000	27888	4.515625	100.0	1.0	1.0	1.0
226000	27888	4.546875	100.0	1.0	1.0	1.0
228000	27888	4.578125	100.0	1.0	1.0	1.0
230000	27888	4.609375	100.0	1.0	1.0	1.0
232000	27888	4.640625	100.0	1.0	1.0	1.0
234000	27888	4.671875	100.0	1.0	1.0	1.0
236000	27888	4.71875	100.0	1.0	1.0	1.0
238000	27888	4.765625	100.0	1.0	1.0	1.0
240000	27888	4.8125	100.0	1.0	1.0	1.0
242000	27888	4.859375	100.0	1.0	1.0	1.0
