sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	144	0.0	98.9	0.0	0.0	0.0
2000	2688	0.0	75.85	0.037848605577689244	1.0	0.07293666026871401
4000	9120	0.015625	100.0	1.0	1.0	1.0
6000	9120	0.015625	100.0	1.0	1.0	1.0
8000	9120	0.015625	100.0	1.0	1.0	1.0
10000	9120	0.03125	100.0	1.0	1.0	1.0
12000	9120	0.046875	100.0	1.0	1.0	1.0
14000	9120	0.046875	100.0	1.0	1.0	1.0
16000	9120	0.0625	100.0	1.0	1.0	1.0
18000	9120	0.078125	100.0	1.0	1.0	1.0
20000	9120	0.09375	100.0	1.0	1.0	1.0
22000	9120	0.09375	100.0	1.0	1.0	1.0
24000	9120	0.09375	100.0	1.0	1.0	1.0
26000	9120	0.109375	100.0	1.0	1.0	1.0
28000	9120	0.109375	100.0	1.0	1.0	1.0
30000	9120	0.109375	100.0	1.0	1.0	1.0
32000	9120	0.109375	100.0	1.0	1.0	1.0
34000	9120	0.140625	100.0	1.0	1.0	1.0
36000	9120	0.140625	100.0	1.0	1.0	1.0
38000	9120	0.15625	100.0	1.0	1.0	1.0
40000	9120	0.171875	100.0	1.0	1.0	1.0
42000	9120	0.171875	100.0	1.0	1.0	1.0
44000	9120	0.1875	100.0	1.0	1.0	1.0
46000	9120	0.1875	100.0	1.0	1.0	1.0
48000	9120	0.1875	100.0	1.0	1.0	1.0
50000	9120	0.1875	100.0	1.0	1.0	1.0
52000	9120	0.203125	100.0	1.0	1.0	1.0
54000	9120	0.21875	100.0	1.0	1.0	1.0
56000	9120	0.234375	100.0	1.0	1.0	1.0
58000	9120	0.234375	100.0	1.0	1.0	1.0
60000	9120	0.234375	100.0	1.0	1.0	1.0
62000	9120	0.25	100.0	1.0	1.0	1.0
64000	9120	0.25	100.0	1.0	1.0	1.0
66000	9120	0.265625	100.0	1.0	1.0	1.0
68000	9120	0.265625	100.0	1.0	1.0	1.0
70000	9120	0.28125	100.0	1.0	1.0	1.0
72000	9120	0.296875	100.0	1.0	1.0	1.0
74000	9120	0.296875	100.0	1.0	1.0	1.0
76000	9120	0.296875	100.0	1.0	1.0	1.0
78000	9120	0.296875	100.0	1.0	1.0	1.0
80000	9120	0.296875	100.0	1.0	1.0	1.0
82000	9120	0.296875	100.0	1.0	1.0	1.0
84000	9120	0.296875	100.0	1.0	1.0	1.0
