sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	22648	0.03125	89.9	0.0	0.0	0.0
2000	25136	0.078125	10.65	0.1065	1.0	0.19249887031179394
4000	27216	0.125	76.75	0.30700447093889716	1.0	0.4697833523375142
6000	26648	0.171875	9.7	0.097	1.0	0.17684594348222427
8000	25400	0.203125	100.0	1.0	1.0	1.0
10000	25472	0.25	100.0	1.0	1.0	1.0
12000	25400	0.296875	100.0	1.0	1.0	1.0
14000	25400	0.34375	100.0	1.0	1.0	1.0
16000	25568	0.359375	100.0	1.0	1.0	1.0
18000	24968	0.40625	10.4	0.104	1.0	0.18840579710144925
20000	27216	0.4375	77.65	0.31124807395993837	1.0	0.47473560517038776
22000	25536	0.484375	76.75	0.3080357142857143	1.0	0.4709897610921501
24000	25304	0.546875	9.75	0.0975	1.0	0.17767653758542143
26000	24968	0.59375	10.05	0.1005	1.0	0.1826442526124489
28000	27216	0.625	77.3	0.2950310559006211	1.0	0.4556354916067146
30000	25128	0.671875	10.95	0.1095	1.0	0.19738621000450654
32000	25704	0.71875	78.85	0.3380281690140845	1.0	0.5052631578947369
34000	28976	0.765625	100.0	1.0	1.0	1.0
36000	28976	0.8125	100.0	1.0	1.0	1.0
38000	28976	0.84375	100.0	1.0	1.0	1.0
40000	29144	0.890625	100.0	1.0	1.0	1.0
42000	29144	0.921875	100.0	1.0	1.0	1.0
44000	29144	0.9375	100.0	1.0	1.0	1.0
46000	29144	0.984375	100.0	1.0	1.0	1.0
48000	29144	1.015625	100.0	1.0	1.0	1.0
50000	29144	1.046875	100.0	1.0	1.0	1.0
52000	29312	1.078125	100.0	1.0	1.0	1.0
54000	29312	1.125	100.0	1.0	1.0	1.0
56000	29312	1.171875	100.0	1.0	1.0	1.0
58000	29312	1.21875	100.0	1.0	1.0	1.0
60000	29312	1.265625	100.0	1.0	1.0	1.0
62000	29312	1.28125	100.0	1.0	1.0	1.0
64000	29312	1.328125	100.0	1.0	1.0	1.0
66000	29312	1.375	100.0	1.0	1.0	1.0
68000	29312	1.40625	100.0	1.0	1.0	1.0
70000	29312	1.453125	100.0	1.0	1.0	1.0
72000	29312	1.5	100.0	1.0	1.0	1.0
74000	29480	1.5625	100.0	1.0	1.0	1.0
76000	29480	1.609375	100.0	1.0	1.0	1.0
78000	29480	1.65625	100.0	1.0	1.0	1.0
80000	29480	1.703125	100.0	1.0	1.0	1.0
