sampleStartIndex	memory	runtime	accuracy	precision	recall	fScore
0	23824	0.0	50.0	0.0	0.0	0.0
2000	24688	0.0	100.0	1.0	1.0	1.0
4000	28024	0.0	100.0	1.0	1.0	1.0
6000	28024	0.0	100.0	1.0	1.0	1.0
8000	28024	0.015625	100.0	1.0	1.0	1.0
10000	28024	0.015625	100.0	1.0	1.0	1.0
12000	28024	0.03125	100.0	1.0	1.0	1.0
14000	28024	0.03125	100.0	1.0	1.0	1.0
16000	28024	0.046875	100.0	1.0	1.0	1.0
18000	28024	0.046875	100.0	1.0	1.0	1.0
20000	28024	0.0625	100.0	1.0	1.0	1.0
22000	28024	0.0625	100.0	1.0	1.0	1.0
24000	28024	0.078125	100.0	1.0	1.0	1.0
26000	28024	0.09375	100.0	1.0	1.0	1.0
28000	28024	0.09375	100.0	1.0	1.0	1.0
30000	28024	0.09375	100.0	1.0	1.0	1.0
32000	28024	0.09375	100.0	1.0	1.0	1.0
34000	28024	0.109375	100.0	1.0	1.0	1.0
36000	28024	0.109375	100.0	1.0	1.0	1.0
38000	28024	0.125	100.0	1.0	1.0	1.0
40000	28024	0.125	100.0	1.0	1.0	1.0
42000	28024	0.125	100.0	1.0	1.0	1.0
44000	28024	0.140625	100.0	1.0	1.0	1.0
46000	28024	0.140625	100.0	1.0	1.0	1.0
48000	28024	0.15625	100.0	1.0	1.0	1.0
50000	28024	0.15625	100.0	1.0	1.0	1.0
52000	28024	0.171875	100.0	1.0	1.0	1.0
54000	28024	0.171875	100.0	1.0	1.0	1.0
56000	28024	0.1875	100.0	1.0	1.0	1.0
58000	28024	0.1875	100.0	1.0	1.0	1.0
60000	28024	0.1875	100.0	1.0	1.0	1.0
62000	28024	0.1875	100.0	1.0	1.0	1.0
64000	28024	0.1875	100.0	1.0	1.0	1.0
66000	28024	0.1875	100.0	1.0	1.0	1.0
68000	28024	0.1875	100.0	1.0	1.0	1.0
70000	28024	0.203125	100.0	1.0	1.0	1.0
72000	28024	0.203125	100.0	1.0	1.0	1.0
74000	28024	0.21875	100.0	1.0	1.0	1.0
76000	28024	0.21875	100.0	1.0	1.0	1.0
78000	28024	0.21875	100.0	1.0	1.0	1.0
80000	28024	0.234375	100.0	1.0	1.0	1.0
82000	28024	0.234375	100.0	1.0	1.0	1.0
84000	28024	0.234375	100.0	1.0	1.0	1.0
86000	28024	0.234375	100.0	1.0	1.0	1.0
88000	28024	0.25	100.0	1.0	1.0	1.0
90000	28024	0.25	100.0	1.0	1.0	1.0
92000	28024	0.265625	100.0	1.0	1.0	1.0
94000	28024	0.265625	100.0	1.0	1.0	1.0
96000	28024	0.265625	100.0	1.0	1.0	1.0
98000	28024	0.28125	100.0	1.0	1.0	1.0
100000	28024	0.28125	100.0	1.0	1.0	1.0
102000	28024	0.296875	100.0	1.0	1.0	1.0
104000	28024	0.296875	100.0	1.0	1.0	1.0
106000	28024	0.3125	100.0	1.0	1.0	1.0
108000	28024	0.3125	100.0	1.0	1.0	1.0
110000	28024	0.328125	100.0	1.0	1.0	1.0
112000	28024	0.328125	100.0	1.0	1.0	1.0
114000	28024	0.328125	100.0	1.0	1.0	1.0
116000	28024	0.328125	100.0	1.0	1.0	1.0
118000	28024	0.328125	100.0	1.0	1.0	1.0
120000	28024	0.34375	100.0	1.0	1.0	1.0
122000	28024	0.34375	100.0	1.0	1.0	1.0
124000	28024	0.359375	100.0	1.0	1.0	1.0
126000	28024	0.359375	100.0	1.0	1.0	1.0
128000	28024	0.375	100.0	1.0	1.0	1.0
130000	28024	0.375	100.0	1.0	1.0	1.0
132000	28024	0.375	100.0	1.0	1.0	1.0
134000	28024	0.390625	100.0	1.0	1.0	1.0
136000	28024	0.390625	100.0	1.0	1.0	1.0
138000	28024	0.40625	100.0	1.0	1.0	1.0
140000	28024	0.40625	100.0	1.0	1.0	1.0
142000	28024	0.421875	100.0	1.0	1.0	1.0
144000	28024	0.421875	100.0	1.0	1.0	1.0
146000	28024	0.4375	100.0	1.0	1.0	1.0
148000	28024	0.4375	100.0	1.0	1.0	1.0
150000	28024	0.4375	100.0	1.0	1.0	1.0
152000	28024	0.453125	100.0	1.0	1.0	1.0
154000	28024	0.453125	100.0	1.0	1.0	1.0
156000	28024	0.46875	100.0	1.0	1.0	1.0
158000	28024	0.46875	100.0	1.0	1.0	1.0
160000	28024	0.46875	100.0	1.0	1.0	1.0
162000	28024	0.46875	100.0	1.0	1.0	1.0
164000	28024	0.46875	100.0	1.0	1.0	1.0
166000	28024	0.46875	100.0	1.0	1.0	1.0
168000	28024	0.46875	100.0	1.0	1.0	1.0
170000	28024	0.484375	100.0	1.0	1.0	1.0
172000	28024	0.484375	100.0	1.0	1.0	1.0
174000	28024	0.5	100.0	1.0	1.0	1.0
176000	28024	0.5	100.0	1.0	1.0	1.0
178000	28024	0.515625	100.0	1.0	1.0	1.0
180000	28024	0.515625	100.0	1.0	1.0	1.0
182000	28024	0.515625	100.0	1.0	1.0	1.0
184000	28024	0.53125	100.0	1.0	1.0	1.0
186000	28024	0.53125	100.0	1.0	1.0	1.0
188000	28024	0.53125	100.0	1.0	1.0	1.0
190000	28024	0.53125	100.0	1.0	1.0	1.0
192000	28024	0.53125	100.0	1.0	1.0	1.0
194000	28024	0.53125	100.0	1.0	1.0	1.0
196000	28024	0.53125	100.0	1.0	1.0	1.0
198000	28024	0.53125	100.0	1.0	1.0	1.0
200000	28024	0.53125	100.0	1.0	1.0	1.0
202000	28024	0.53125	100.0	1.0	1.0	1.0
204000	28024	0.546875	100.0	1.0	1.0	1.0
206000	28024	0.546875	100.0	1.0	1.0	1.0
208000	28024	0.546875	100.0	1.0	1.0	1.0
210000	28024	0.546875	100.0	1.0	1.0	1.0
212000	28024	0.546875	100.0	1.0	1.0	1.0
214000	28024	0.5625	100.0	1.0	1.0	1.0
216000	28024	0.5625	100.0	1.0	1.0	1.0
218000	28024	0.5625	100.0	1.0	1.0	1.0
220000	28024	0.5625	100.0	1.0	1.0	1.0
222000	28024	0.578125	100.0	1.0	1.0	1.0
224000	28024	0.578125	100.0	1.0	1.0	1.0
226000	28024	0.578125	100.0	1.0	1.0	1.0
228000	28024	0.59375	100.0	1.0	1.0	1.0
230000	28024	0.59375	100.0	1.0	1.0	1.0
232000	28024	0.59375	100.0	1.0	1.0	1.0
234000	28024	0.59375	100.0	1.0	1.0	1.0
236000	28024	0.609375	100.0	1.0	1.0	1.0
238000	28024	0.609375	100.0	1.0	1.0	1.0
240000	28024	0.625	100.0	1.0	1.0	1.0
242000	28024	0.625	100.0	1.0	1.0	1.0
244000	28024	0.625	100.0	1.0	1.0	1.0
246000	28024	0.625	100.0	1.0	1.0	1.0
248000	28024	0.625	100.0	1.0	1.0	1.0
250000	28024	0.640625	100.0	1.0	1.0	1.0
252000	28024	0.640625	100.0	1.0	1.0	1.0
254000	28024	0.65625	100.0	1.0	1.0	1.0
256000	28024	0.65625	100.0	1.0	1.0	1.0
258000	28024	0.671875	100.0	1.0	1.0	1.0
260000	28024	0.671875	100.0	1.0	1.0	1.0
262000	28024	0.671875	100.0	1.0	1.0	1.0
264000	28024	0.671875	100.0	1.0	1.0	1.0
266000	28024	0.671875	100.0	1.0	1.0	1.0
268000	28024	0.6875	100.0	1.0	1.0	1.0
270000	28024	0.6875	100.0	1.0	1.0	1.0
272000	28024	0.6875	100.0	1.0	1.0	1.0
274000	28024	0.6875	100.0	1.0	1.0	1.0
276000	28024	0.703125	100.0	1.0	1.0	1.0
278000	28024	0.703125	100.0	1.0	1.0	1.0
280000	28024	0.71875	100.0	1.0	1.0	1.0
282000	28024	0.71875	100.0	1.0	1.0	1.0
284000	28024	0.71875	100.0	1.0	1.0	1.0
286000	28024	0.734375	100.0	1.0	1.0	1.0
288000	28024	0.734375	100.0	1.0	1.0	1.0
290000	28024	0.734375	100.0	1.0	1.0	1.0
292000	28024	0.734375	100.0	1.0	1.0	1.0
294000	28024	0.75	100.0	1.0	1.0	1.0
296000	28024	0.75	100.0	1.0	1.0	1.0
298000	28024	0.765625	100.0	1.0	1.0	1.0
300000	28024	0.765625	100.0	1.0	1.0	1.0
302000	28024	0.765625	100.0	1.0	1.0	1.0
304000	28024	0.765625	100.0	1.0	1.0	1.0
306000	28024	0.765625	100.0	1.0	1.0	1.0
308000	28024	0.765625	100.0	1.0	1.0	1.0
310000	28024	0.765625	100.0	1.0	1.0	1.0
312000	28024	0.765625	100.0	1.0	1.0	1.0
314000	28024	0.765625	100.0	1.0	1.0	1.0
316000	28024	0.78125	100.0	1.0	1.0	1.0
318000	28024	0.78125	100.0	1.0	1.0	1.0
320000	28024	0.78125	100.0	1.0	1.0	1.0
322000	28024	0.796875	100.0	1.0	1.0	1.0
324000	28024	0.796875	100.0	1.0	1.0	1.0
326000	28024	0.8125	100.0	1.0	1.0	1.0
328000	28024	0.8125	100.0	1.0	1.0	1.0
330000	28024	0.8125	100.0	1.0	1.0	1.0
332000	28024	0.8125	100.0	1.0	1.0	1.0
334000	28024	0.8125	100.0	1.0	1.0	1.0
336000	28024	0.828125	100.0	1.0	1.0	1.0
338000	28024	0.84375	100.0	1.0	1.0	1.0
340000	28024	0.84375	100.0	1.0	1.0	1.0
342000	28024	0.84375	100.0	1.0	1.0	1.0
344000	28024	0.84375	100.0	1.0	1.0	1.0
346000	28024	0.859375	100.0	1.0	1.0	1.0
348000	28024	0.859375	100.0	1.0	1.0	1.0
350000	28024	0.875	100.0	1.0	1.0	1.0
352000	28024	0.875	100.0	1.0	1.0	1.0
354000	28024	0.875	100.0	1.0	1.0	1.0
356000	28024	0.875	100.0	1.0	1.0	1.0
358000	28024	0.875	100.0	1.0	1.0	1.0
360000	28024	0.875	100.0	1.0	1.0	1.0
362000	28024	0.875	100.0	1.0	1.0	1.0
364000	28024	0.890625	100.0	1.0	1.0	1.0
366000	28024	0.890625	100.0	1.0	1.0	1.0
368000	28024	0.890625	100.0	1.0	1.0	1.0
370000	28024	0.90625	100.0	1.0	1.0	1.0
372000	28024	0.90625	100.0	1.0	1.0	1.0
374000	28024	0.90625	100.0	1.0	1.0	1.0
376000	28024	0.90625	100.0	1.0	1.0	1.0
378000	28024	0.921875	100.0	1.0	1.0	1.0
380000	28024	0.921875	100.0	1.0	1.0	1.0
382000	28024	0.9375	100.0	1.0	1.0	1.0
384000	28024	0.9375	100.0	1.0	1.0	1.0
386000	28024	0.953125	100.0	1.0	1.0	1.0
388000	28024	0.953125	100.0	1.0	1.0	1.0
390000	28024	0.953125	100.0	1.0	1.0	1.0
392000	28024	0.953125	100.0	1.0	1.0	1.0
394000	28024	0.953125	100.0	1.0	1.0	1.0
396000	28024	0.953125	100.0	1.0	1.0	1.0
398000	28024	0.953125	100.0	1.0	1.0	1.0
400000	28024	0.96875	100.0	1.0	1.0	1.0
402000	28024	0.96875	100.0	1.0	1.0	1.0
404000	28024	0.96875	100.0	1.0	1.0	1.0
406000	28024	0.96875	100.0	1.0	1.0	1.0
408000	28024	0.96875	100.0	1.0	1.0	1.0
410000	28024	0.96875	100.0	1.0	1.0	1.0
412000	28024	0.96875	100.0	1.0	1.0	1.0
414000	28024	0.96875	100.0	1.0	1.0	1.0
416000	28024	0.96875	100.0	1.0	1.0	1.0
418000	28024	0.984375	100.0	1.0	1.0	1.0
420000	28024	0.984375	100.0	1.0	1.0	1.0
422000	28024	0.984375	100.0	1.0	1.0	1.0
424000	28024	0.984375	100.0	1.0	1.0	1.0
426000	28024	0.984375	100.0	1.0	1.0	1.0
428000	28024	0.984375	100.0	1.0	1.0	1.0
430000	28024	0.984375	100.0	1.0	1.0	1.0
432000	28024	0.984375	100.0	1.0	1.0	1.0
434000	28024	0.984375	100.0	1.0	1.0	1.0
436000	28024	1.0	100.0	1.0	1.0	1.0
438000	28024	1.0	100.0	1.0	1.0	1.0
440000	28024	1.0	100.0	1.0	1.0	1.0
442000	28024	1.0	100.0	1.0	1.0	1.0
444000	28024	1.0	100.0	1.0	1.0	1.0
446000	28024	1.0	100.0	1.0	1.0	1.0
448000	28024	1.0	100.0	1.0	1.0	1.0
450000	28024	1.0	100.0	1.0	1.0	1.0
452000	28024	1.0	100.0	1.0	1.0	1.0
454000	28024	1.015625	100.0	1.0	1.0	1.0
456000	28024	1.015625	100.0	1.0	1.0	1.0
458000	28024	1.015625	100.0	1.0	1.0	1.0
460000	28024	1.03125	100.0	1.0	1.0	1.0
462000	28024	1.03125	100.0	1.0	1.0	1.0
464000	28024	1.03125	100.0	1.0	1.0	1.0
466000	28024	1.03125	100.0	1.0	1.0	1.0
468000	28024	1.046875	100.0	1.0	1.0	1.0
470000	28024	1.046875	100.0	1.0	1.0	1.0
472000	28024	1.0625	100.0	1.0	1.0	1.0
474000	28024	1.0625	100.0	1.0	1.0	1.0
476000	28024	1.0625	100.0	1.0	1.0	1.0
478000	28024	1.0625	100.0	1.0	1.0	1.0
480000	28024	1.0625	100.0	1.0	1.0	1.0
482000	28024	1.0625	100.0	1.0	1.0	1.0
484000	28024	1.0625	100.0	1.0	1.0	1.0
486000	28024	1.078125	100.0	1.0	1.0	1.0
488000	28024	1.078125	100.0	1.0	1.0	1.0
490000	28024	1.09375	100.0	1.0	1.0	1.0
492000	28024	1.09375	100.0	1.0	1.0	1.0
494000	28024	1.09375	100.0	1.0	1.0	1.0
496000	28024	1.09375	100.0	1.0	1.0	1.0
498000	28024	1.09375	100.0	1.0	1.0	1.0
500000	28024	1.09375	100.0	1.0	1.0	1.0
502000	28024	1.09375	100.0	1.0	1.0	1.0
504000	28024	1.109375	100.0	1.0	1.0	1.0
506000	28024	1.109375	100.0	1.0	1.0	1.0
508000	28024	1.125	100.0	1.0	1.0	1.0
510000	28024	1.125	100.0	1.0	1.0	1.0
512000	28024	1.125	100.0	1.0	1.0	1.0
514000	28024	1.140625	100.0	1.0	1.0	1.0
516000	28024	1.140625	100.0	1.0	1.0	1.0
518000	28024	1.15625	100.0	1.0	1.0	1.0
520000	28024	1.15625	100.0	1.0	1.0	1.0
522000	28024	1.15625	100.0	1.0	1.0	1.0
524000	28024	1.15625	100.0	1.0	1.0	1.0
526000	28024	1.171875	100.0	1.0	1.0	1.0
528000	28024	1.171875	100.0	1.0	1.0	1.0
530000	28024	1.1875	100.0	1.0	1.0	1.0
532000	28024	1.1875	100.0	1.0	1.0	1.0
534000	28024	1.1875	100.0	1.0	1.0	1.0
536000	28024	1.203125	100.0	1.0	1.0	1.0
538000	28024	1.203125	100.0	1.0	1.0	1.0
540000	28024	1.21875	100.0	1.0	1.0	1.0
542000	28024	1.21875	100.0	1.0	1.0	1.0
544000	28024	1.21875	100.0	1.0	1.0	1.0
546000	28024	1.21875	100.0	1.0	1.0	1.0
548000	28024	1.234375	100.0	1.0	1.0	1.0
550000	28024	1.234375	100.0	1.0	1.0	1.0
552000	28024	1.234375	100.0	1.0	1.0	1.0
554000	28024	1.234375	100.0	1.0	1.0	1.0
556000	28024	1.234375	100.0	1.0	1.0	1.0
558000	28024	1.234375	100.0	1.0	1.0	1.0
560000	28024	1.234375	100.0	1.0	1.0	1.0
562000	28024	1.25	100.0	1.0	1.0	1.0
564000	28024	1.25	100.0	1.0	1.0	1.0
566000	28024	1.265625	100.0	1.0	1.0	1.0
568000	28024	1.265625	100.0	1.0	1.0	1.0
570000	28024	1.28125	100.0	1.0	1.0	1.0
572000	28024	1.28125	100.0	1.0	1.0	1.0
574000	28024	1.28125	100.0	1.0	1.0	1.0
576000	28024	1.28125	100.0	1.0	1.0	1.0
578000	28024	1.28125	100.0	1.0	1.0	1.0
580000	28024	1.296875	100.0	1.0	1.0	1.0
582000	28024	1.296875	100.0	1.0	1.0	1.0
584000	28024	1.296875	100.0	1.0	1.0	1.0
586000	28024	1.296875	100.0	1.0	1.0	1.0
588000	28024	1.3125	100.0	1.0	1.0	1.0
590000	28024	1.3125	100.0	1.0	1.0	1.0
592000	28024	1.3125	100.0	1.0	1.0	1.0
594000	28024	1.328125	100.0	1.0	1.0	1.0
596000	28024	1.328125	100.0	1.0	1.0	1.0
598000	28024	1.328125	100.0	1.0	1.0	1.0
600000	28024	1.328125	100.0	1.0	1.0	1.0
602000	28024	1.34375	100.0	1.0	1.0	1.0
604000	28024	1.34375	100.0	1.0	1.0	1.0
606000	28024	1.34375	100.0	1.0	1.0	1.0
608000	28024	1.34375	100.0	1.0	1.0	1.0
610000	28024	1.34375	100.0	1.0	1.0	1.0
612000	28024	1.359375	100.0	1.0	1.0	1.0
614000	28024	1.359375	100.0	1.0	1.0	1.0
