@relation electricity

@attribute date numeric
@attribute day {1,2,3,4,5,6,7}
@attribute period numeric
@attribute nswprice numeric
@attribute nswdemand numeric
@attribute vicprice numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {UP,DOWN}

@data

960507,2,2,1722,7064,?,?,0,UP
960507,2,4,1515,6389,?,?,0,UP
960507,2,11,1478,5410,?,?,0,UP
960507,2,12,1661,5702,?,?,0,UP
960507,2,13,1715,6282,?,?,0,UP
960507,2,21,1478,7870,?,?,0,UP
960507,2,22,1478,7748,?,?,0,UP
960507,2,23,1478,7729,?,?,0,UP
960507,2,24,1515,7728,?,?,0,UP
960507,2,25,1478,7671,?,?,0,UP
960507,2,26,1478,7621,?,?,0,UP
960507,2,28,1478,7579,?,?,0,UP
960507,2,34,1371,7656,?,?,0,DOWN
960507,2,36,1478,8390,?,?,0,UP
960507,2,44,1715,6598,?,?,0,UP
960507,2,45,1880,6995,?,?,0,UP
960507,2,46,1820,7157,?,?,0,UP
960507,2,47,1973,7267,?,?,0,UP
960508,3,1,1973,7251,?,?,0,UP
960508,3,2,1880,7036,?,?,0,UP
960508,3,3,1715,6821,?,?,0,UP
960508,3,12,1715,5716,?,?,0,UP
960508,3,13,1715,6307,?,?,0,UP
960508,3,35,1367,7862,?,?,0,DOWN
960508,3,45,1880,7024,?,?,0,UP
960508,3,46,1844,7199,?,?,0,UP
960508,3,47,1973,7342,?,?,0,UP
960508,3,48,1820,7298,?,?,0,UP
960509,4,1,1820,7287,?,?,0,UP
960509,4,2,1820,7161,?,?,0,UP
960509,4,9,1564,5293,?,?,0,UP
960509,4,10,1564,5267,?,?,0,UP
960509,4,11,1564,5446,?,?,0,UP
960509,4,12,1569,5732,?,?,0,UP
960509,4,13,1661,6340,?,?,0,UP
960509,4,14,1569,6986,?,?,0,UP
960509,4,15,1564,7015,?,?,0,UP
960509,4,19,1516,7768,?,?,0,UP
960509,4,20,1564,7849,?,?,0,UP
960509,4,21,1564,7776,?,?,0,UP
960509,4,22,1569,7574,?,?,0,UP
960509,4,23,1569,7619,?,?,0,UP
960509,4,24,1569,7571,?,?,0,UP
960509,4,25,1569,7520,?,?,0,UP
960509,4,26,1580,7472,?,?,0,UP
960509,4,27,1580,7463,?,?,0,UP
960509,4,29,1569,7358,?,?,0,UP
960509,4,30,1569,7277,?,?,0,UP
960509,4,31,1564,7229,?,?,0,UP
960509,4,33,1415,7302,?,?,0,DOWN
960509,4,35,1564,7706,?,?,0,UP
960509,4,36,1564,8254,?,?,0,UP
960509,4,37,1564,8205,?,?,0,UP
960509,4,43,1564,7013,?,?,0,UP
960509,4,44,1564,6769,?,?,0,UP
960509,4,45,1880,7113,?,?,0,UP
960509,4,46,1722,7249,?,?,0,UP
960509,4,47,2527,7392,?,?,0,UP
960509,4,48,2507,7380,?,?,0,UP
