@relation 'electricity-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute day {1,2,3,4,5,6,7}
@attribute period numeric
@attribute nswdemand numeric
@attribute vicprice numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {UP,DOWN}

@data
2,1,7226,?,?,0,UP
2,2,7064,?,?,0,UP
2,3,6862,?,?,0,UP
2,4,6389,?,?,0,UP
2,5,5962,?,?,0,DOWN
2,6,5669,?,?,0,DOWN
2,7,5429,?,?,0,DOWN
2,8,5301,?,?,0,DOWN
2,9,5181,?,?,0,DOWN
2,10,5219,?,?,0,DOWN
2,11,5410,?,?,0,UP
2,12,5702,?,?,0,UP
2,13,6282,?,?,0,UP
2,14,6898,?,?,0,DOWN
2,15,6978,?,?,0,DOWN
2,16,7381,?,?,0,DOWN
2,17,7556,?,?,0,DOWN
2,18,7590,?,?,0,DOWN
2,19,7854,?,?,0,DOWN
2,20,7947,?,?,0,DOWN
2,21,7870,?,?,0,UP
2,22,7748,?,?,0,UP
2,23,7729,?,?,0,UP
2,24,7728,?,?,0,UP
2,25,7671,?,?,0,UP
2,26,7621,?,?,0,UP
2,27,7632,?,?,0,DOWN
2,28,7579,?,?,0,UP
2,29,7566,?,?,0,UP
2,30,7481,?,?,0,DOWN
2,31,7412,?,?,0,DOWN
2,32,7488,?,?,0,DOWN
2,33,7534,?,?,0,DOWN
2,34,7656,?,?,0,DOWN
2,35,7991,?,?,0,DOWN
2,36,8390,?,?,0,UP
2,37,8224,?,?,0,DOWN
2,38,7950,?,?,0,DOWN
2,39,7615,?,?,0,DOWN
2,40,7438,?,?,0,DOWN
2,41,7274,?,?,0,DOWN
2,42,7045,?,?,0,DOWN
2,43,6753,?,?,0,DOWN
2,44,6598,?,?,0,UP
2,45,6995,?,?,0,UP
2,46,7157,?,?,0,UP
2,47,7267,?,?,0,UP
2,48,7238,?,?,0,UP
3,1,7251,?,?,0,UP
3,2,7036,?,?,0,UP
3,3,6821,?,?,0,UP
3,4,6403,?,?,0,DOWN
3,5,6008,?,?,0,DOWN
3,6,5713,?,?,0,DOWN
3,7,5476,?,?,0,DOWN
3,8,5295,?,?,0,DOWN
3,9,5205,?,?,0,DOWN
3,10,5229,?,?,0,DOWN
3,11,5428,?,?,0,DOWN
3,12,5716,?,?,0,UP
3,13,6307,?,?,0,UP
3,14,6916,?,?,0,UP
3,15,6933,?,?,0,DOWN
3,16,7343,?,?,0,DOWN
3,17,7551,?,?,0,DOWN
3,18,7561,?,?,0,DOWN
3,19,7829,?,?,0,DOWN
3,20,7859,?,?,0,DOWN
3,21,7769,?,?,0,DOWN
3,22,7652,?,?,0,DOWN
3,23,7580,?,?,0,DOWN
3,24,7547,?,?,0,DOWN
3,25,7503,?,?,0,DOWN
3,26,7483,?,?,0,DOWN
3,27,7483,?,?,0,DOWN
3,28,7441,?,?,0,DOWN
3,29,7380,?,?,0,DOWN
3,30,7268,?,?,0,DOWN
3,31,7248,?,?,0,DOWN
3,32,7304,?,?,0,DOWN
3,33,7339,?,?,0,DOWN
3,34,7532,?,?,0,DOWN
3,35,7862,?,?,0,DOWN
3,36,8335,?,?,0,DOWN
3,37,8220,?,?,0,DOWN
3,38,7990,?,?,0,DOWN
3,39,7708,?,?,0,DOWN
3,40,7501,?,?,0,DOWN
3,41,7314,?,?,0,DOWN
3,42,7175,?,?,0,DOWN
3,43,6866,?,?,0,DOWN
3,44,6629,?,?,0,DOWN
3,45,7024,?,?,0,UP
3,46,7199,?,?,0,UP
3,47,7342,?,?,0,UP
3,48,7298,?,?,0,UP
4,1,7287,?,?,0,UP
4,2,7161,?,?,0,UP
4,3,6958,?,?,0,UP
4,4,6502,?,?,0,DOWN
